"V1","V2"
"LHX1","PBX1"
"OR52E6","OR4N2"
"DEFB103B","DEFB104B"
"DEFB103B","DEFB105A"
"DEFB103B","DEFB106B"
"DEFB103B","DEFB107A"
"DEFB104B","DEFB105A"
"DEFB104B","DEFB106B"
"DEFB104B","DEFB107A"
"TXNDC2","SELENOW"
"CHAT","PIGW"
"DEFB105A","DEFB106B"
"DEFB105A","DEFB107A"
"DEFB106B","DEFB107A"
"MYO9A","TBC1D3"
