"V1","V2"
"CASP5","ATP6V0A4"
"CASP5","RPL3L"
"CASP5","MYH15"
"CASP5","SELENOO"
"CASP5","FHAD1"
"CASP5","WDSUB1"
"CASP5","RPTN"
"CASP5","ALG14"
"CASP5","DPAGT1"
"CASP5","GFPT1"
"CASP5","GMPPB"
"CASP5","SLC25A1"
"CASP5","UBE2D1"
"CASP5","ATAD3B"
"CASP5","CASP12"
"CASP5","ATAD3C"
"AMPD1","ATP6V0A4"
"AMPD1","RPL3L"
"AMPD1","MYH15"
"AMPD1","SELENOO"
"AMPD1","FHAD1"
"AMPD1","WDSUB1"
"AMPD1","RPTN"
"AMPD1","ALG14"
"AMPD1","DPAGT1"
"AMPD1","GFPT1"
"AMPD1","GMPPB"
"AMPD1","SLC25A1"
"AMPD1","UBE2D1"
"AMPD1","ATAD3B"
"AMPD1","CASP12"
"AMPD1","ATAD3C"
"ATP6V0A4","RPL3L"
"ATP6V0A4","MYH15"
"ATP6V0A4","SELENOO"
"ATP6V0A4","FHAD1"
"ATP6V0A4","WDSUB1"
"ATP6V0A4","RPTN"
"ATP6V0A4","ALG14"
"ATP6V0A4","DPAGT1"
"ATP6V0A4","GFPT1"
"ATP6V0A4","GMPPB"
"ATP6V0A4","SLC25A1"
"ATP6V0A4","UBE2D1"
"ATP6V0A4","ATAD3B"
"ATP6V0A4","CASP12"
"ATP6V0A4","ATAD3C"
"RPL3L","MYH15"
"RPL3L","SELENOO"
"RPL3L","FHAD1"
"RPL3L","WDSUB1"
"RPL3L","RPTN"
"RPL3L","ALG14"
"RPL3L","DPAGT1"
"RPL3L","GFPT1"
"RPL3L","GMPPB"
"RPL3L","SLC25A1"
"RPL3L","UBE2D1"
"RPL3L","ATAD3B"
"RPL3L","CASP12"
"RPL3L","ATAD3C"
"MYH15","SELENOO"
"MYH15","FHAD1"
"MYH15","WDSUB1"
"MYH15","RPTN"
"MYH15","ALG14"
"MYH15","DPAGT1"
"MYH15","GFPT1"
"MYH15","GMPPB"
"MYH15","SLC25A1"
"MYH15","UBE2D1"
"MYH15","ATAD3B"
"MYH15","CASP12"
"MYH15","ATAD3C"
"SELENOO","FHAD1"
"SELENOO","WDSUB1"
"SELENOO","RPTN"
"SELENOO","ALG14"
"SELENOO","DPAGT1"
"SELENOO","GFPT1"
"SELENOO","GMPPB"
"SELENOO","SLC25A1"
"SELENOO","UBE2D1"
"SELENOO","ATAD3B"
"SELENOO","CASP12"
"SELENOO","ATAD3C"
"FHAD1","WDSUB1"
"FHAD1","RPTN"
"FHAD1","ALG14"
"FHAD1","DPAGT1"
"FHAD1","GFPT1"
"FHAD1","GMPPB"
"FHAD1","SLC25A1"
"FHAD1","UBE2D1"
"FHAD1","ATAD3B"
"FHAD1","CASP12"
"FHAD1","ATAD3C"
"WDSUB1","RPTN"
"WDSUB1","ALG14"
"WDSUB1","DPAGT1"
"WDSUB1","GFPT1"
"WDSUB1","GMPPB"
"WDSUB1","SLC25A1"
"WDSUB1","UBE2D1"
"WDSUB1","ATAD3B"
"WDSUB1","CASP12"
"WDSUB1","ATAD3C"
"RPTN","ALG14"
"RPTN","DPAGT1"
"RPTN","GFPT1"
"RPTN","GMPPB"
"RPTN","SLC25A1"
"RPTN","UBE2D1"
"RPTN","ATAD3B"
"RPTN","CASP12"
"RPTN","ATAD3C"
"ALG14","DPAGT1"
"ALG14","GFPT1"
"ALG14","GMPPB"
"ALG14","SLC25A1"
"ALG14","UBE2D1"
"ALG14","ATAD3B"
"ALG14","CASP12"
"ALG14","ATAD3C"
"DPAGT1","GFPT1"
"DPAGT1","GMPPB"
"DPAGT1","SLC25A1"
"DPAGT1","UBE2D1"
"DPAGT1","ATAD3B"
"DPAGT1","CASP12"
"DPAGT1","ATAD3C"
"GFPT1","GMPPB"
"GFPT1","SLC25A1"
"GFPT1","UBE2D1"
"GFPT1","ATAD3B"
"GFPT1","CASP12"
"GFPT1","ATAD3C"
"GMPPB","SLC25A1"
"GMPPB","UBE2D1"
"GMPPB","ATAD3B"
"GMPPB","CASP12"
"GMPPB","ATAD3C"
"SLC25A1","UBE2D1"
"SLC25A1","ATAD3B"
"SLC25A1","CASP12"
"SLC25A1","ATAD3C"
"UBE2D1","ATAD3B"
"UBE2D1","CASP12"
"UBE2D1","ATAD3C"
"ATAD3B","CASP12"
"ATAD3B","ATAD3C"
"CASP12","ATAD3C"
