"V1","V2"
"ABCB5","MCM8"
"ABCB5","UBE2D1"
"MCM8","UBE2D1"
"KIF13B","LRP2"
"KIF13B","C2CD3"
"KIF13B","SLC18A3"
"KIF13B","SYT2"
"KIF13B","VAMP1"
"LRP2","C2CD3"
"LRP2","SLC18A3"
"LRP2","SYT2"
"LRP2","VAMP1"
"C2CD3","SLC18A3"
"C2CD3","SYT2"
"C2CD3","VAMP1"
"SLC18A3","SYT2"
"SLC18A3","VAMP1"
"SYT2","VAMP1"
"PTPN14","SRMS"
"PTPN14","MYO10"
"PTPN14","SPTBN5"
"PTPN14","MYBPC2"
"PTPN14","TIAM1"
"PTPN14","CDH3"
"PTPN14","PPFIBP2"
"PTPN14","MYO9A"
"PTPN14","SCN4A"
"PTPN14","UNC13B"
"PTPN14","TPCN2"
"PTPN14","CLCNKB"
"SRMS","MYO10"
"SRMS","SPTBN5"
"SRMS","MYBPC2"
"SRMS","TIAM1"
"SRMS","CDH3"
"SRMS","PPFIBP2"
"SRMS","MYO9A"
"SRMS","SCN4A"
"SRMS","UNC13B"
"SRMS","TPCN2"
"SRMS","CLCNKB"
"MYO10","SPTBN5"
"MYO10","MYBPC2"
"MYO10","TIAM1"
"MYO10","CDH3"
"MYO10","PPFIBP2"
"MYO10","MYO9A"
"MYO10","SCN4A"
"MYO10","UNC13B"
"MYO10","TPCN2"
"MYO10","CLCNKB"
"SPTBN5","MYBPC2"
"SPTBN5","TIAM1"
"SPTBN5","CDH3"
"SPTBN5","PPFIBP2"
"SPTBN5","MYO9A"
"SPTBN5","SCN4A"
"SPTBN5","UNC13B"
"SPTBN5","TPCN2"
"SPTBN5","CLCNKB"
"MYBPC2","TIAM1"
"MYBPC2","CDH3"
"MYBPC2","PPFIBP2"
"MYBPC2","MYO9A"
"MYBPC2","SCN4A"
"MYBPC2","UNC13B"
"MYBPC2","TPCN2"
"MYBPC2","CLCNKB"
"TIAM1","CDH3"
"TIAM1","PPFIBP2"
"TIAM1","MYO9A"
"TIAM1","SCN4A"
"TIAM1","UNC13B"
"TIAM1","TPCN2"
"TIAM1","CLCNKB"
"CDH3","PPFIBP2"
"CDH3","MYO9A"
"CDH3","SCN4A"
"CDH3","UNC13B"
"CDH3","TPCN2"
"CDH3","CLCNKB"
"PPFIBP2","MYO9A"
"PPFIBP2","SCN4A"
"PPFIBP2","UNC13B"
"PPFIBP2","TPCN2"
"PPFIBP2","CLCNKB"
"MYO9A","SCN4A"
"MYO9A","UNC13B"
"MYO9A","TPCN2"
"MYO9A","CLCNKB"
"SCN4A","UNC13B"
"SCN4A","TPCN2"
"SCN4A","CLCNKB"
"UNC13B","TPCN2"
"UNC13B","CLCNKB"
"TPCN2","CLCNKB"
"RPL3L","HEATR1"
"RPL3L","GFPT1"
"HEATR1","GFPT1"
"MUC4","MUC4"
"PLB1","SLC44A4"
"PLB1","ACOT2"
"PLB1","CHAT"
"PLB1","SLC5A7"
"SLC44A4","ACOT2"
"SLC44A4","CHAT"
"SLC44A4","SLC5A7"
"ACOT2","CHAT"
"ACOT2","SLC5A7"
"CHAT","SLC5A7"
"DEFB115","DEFB115"
"ALG14","ALG2"
"ALG14","DPAGT1"
"ALG2","DPAGT1"
"ZP4","ZP4"
"CHRNA1","CHRND"
"CHRNA1","CHRNE"
"CHRNA1","CHRNG"
"CHRND","CHRNE"
"CHRND","CHRNG"
"CHRNE","CHRNG"
"GMPPB","GMPPB"
"NPHP3","NPHP3"
"SLC28A1","SLC28A1"
