"V1","V2"
"TTLL3","FLG"
"TTLL3","HYI"
"TTLL3","NOL8"
"TTLL3","TTC3"
"TTLL3","ZNF469"
"TTLL3","LRRFIP1"
"TTLL3","DDX55"
"TTLL3","DNAH10"
"TTLL3","DPYD"
"TTLL3","FAT4"
"TTLL3","AMDHD1"
"TTLL3","ARMC5"
"TTLL3","FASN"
"TTLL3","INF2"
"TTLL3","FLG2"
"TTLL3","FYB2"
"TTLL3","CLTCL1"
"TTLL3","USP20"
"TTLL3","FNIP2"
"TTLL3","MROH2B"
"TTLL3","KRT23"
"TTLL3","ZNF343"
"TTLL3","ELP1"
"TTLL3","LARP7"
"TTLL3","LMO7"
"TTLL3","SEC16A"
"TTLL3","ALG14"
"TTLL3","DPAGT1"
"TTLL3","GFPT1"
"TTLL3","GMPPB"
"TTLL3","SLC25A1"
"TTLL3","PDPR"
"TTLL3","MRM1"
"TTLL3","MYO19"
"TTLL3","DDX52"
"TTLL3","FGGY"
"TTLL3","ANXA2R"
"TTLL3","SELENOW"
"TTLL3","ZDHHC11"
"ACAD10","DGLUCY"
"ACAD10","CCDC171"
"ACAD10","MFSD4B"
"ACAD10","TXNDC2"
"ACAD10","USP17L2"
"ACAD10","BMS1"
"ACAD10","FLG"
"ACAD10","HYI"
"ACAD10","NOL8"
"ACAD10","TTC3"
"ACAD10","ZNF469"
"ACAD10","LRRFIP1"
"ACAD10","DDX55"
"ACAD10","DNAH10"
"ACAD10","DPYD"
"ACAD10","FAT4"
"ACAD10","AMDHD1"
"ACAD10","ARMC5"
"ACAD10","FASN"
"ACAD10","INF2"
"ACAD10","FLG2"
"ACAD10","FYB2"
"ACAD10","CLTCL1"
"ACAD10","USP20"
"ACAD10","FNIP2"
"ACAD10","MROH2B"
"ACAD10","KRT23"
"ACAD10","ZNF343"
"ACAD10","ELP1"
"ACAD10","LARP7"
"ACAD10","LMO7"
"ACAD10","SEC16A"
"ACAD10","ALG14"
"ACAD10","DPAGT1"
"ACAD10","GFPT1"
"ACAD10","GMPPB"
"ACAD10","SLC25A1"
"ACAD10","PDPR"
"ACAD10","MRM1"
"ACAD10","MYO19"
"ACAD10","DDX52"
"ACAD10","FGGY"
"ACAD10","ANXA2R"
"ACAD10","SELENOW"
"ACAD10","ZDHHC11"
"DGLUCY","CCDC171"
"DGLUCY","MFSD4B"
"DGLUCY","TXNDC2"
"DGLUCY","USP17L2"
"DGLUCY","BMS1"
"DGLUCY","FLG"
"DGLUCY","HYI"
"DGLUCY","NOL8"
"DGLUCY","TTC3"
"DGLUCY","ZNF469"
"DGLUCY","LRRFIP1"
"DGLUCY","DDX55"
"DGLUCY","DNAH10"
"DGLUCY","DPYD"
"DGLUCY","FAT4"
"DGLUCY","AMDHD1"
"DGLUCY","ARMC5"
"DGLUCY","FASN"
"DGLUCY","INF2"
"DGLUCY","FLG2"
"DGLUCY","FYB2"
"DGLUCY","CLTCL1"
"DGLUCY","USP20"
"DGLUCY","FNIP2"
"DGLUCY","MROH2B"
"DGLUCY","KRT23"
"DGLUCY","ZNF343"
"DGLUCY","ELP1"
"DGLUCY","LARP7"
"DGLUCY","LMO7"
"DGLUCY","SEC16A"
"DGLUCY","ALG14"
"DGLUCY","DPAGT1"
"DGLUCY","GFPT1"
"DGLUCY","GMPPB"
"DGLUCY","SLC25A1"
"DGLUCY","PDPR"
"DGLUCY","MRM1"
"DGLUCY","MYO19"
"DGLUCY","DDX52"
"DGLUCY","FGGY"
"DGLUCY","ANXA2R"
"DGLUCY","SELENOW"
"DGLUCY","ZDHHC11"
"CCDC171","MFSD4B"
"CCDC171","TXNDC2"
"CCDC171","USP17L2"
"CCDC171","BMS1"
"CCDC171","FLG"
"CCDC171","HYI"
"CCDC171","NOL8"
"CCDC171","TTC3"
"CCDC171","ZNF469"
"CCDC171","LRRFIP1"
"CCDC171","DDX55"
"CCDC171","DNAH10"
"CCDC171","DPYD"
"CCDC171","FAT4"
"CCDC171","AMDHD1"
"CCDC171","ARMC5"
"CCDC171","FASN"
"CCDC171","INF2"
"CCDC171","FLG2"
"CCDC171","FYB2"
"CCDC171","CLTCL1"
"CCDC171","USP20"
"CCDC171","FNIP2"
"CCDC171","MROH2B"
"CCDC171","KRT23"
"CCDC171","ZNF343"
"CCDC171","ELP1"
"CCDC171","LARP7"
"CCDC171","LMO7"
"CCDC171","SEC16A"
"CCDC171","ALG14"
"CCDC171","DPAGT1"
"CCDC171","GFPT1"
"CCDC171","GMPPB"
"CCDC171","SLC25A1"
"CCDC171","PDPR"
"CCDC171","MRM1"
"CCDC171","MYO19"
"CCDC171","DDX52"
"CCDC171","FGGY"
"CCDC171","ANXA2R"
"CCDC171","SELENOW"
"CCDC171","ZDHHC11"
"MFSD4B","TXNDC2"
"MFSD4B","USP17L2"
"MFSD4B","BMS1"
"MFSD4B","FLG"
"MFSD4B","HYI"
"MFSD4B","NOL8"
"MFSD4B","TTC3"
"MFSD4B","ZNF469"
"MFSD4B","LRRFIP1"
"MFSD4B","DDX55"
"MFSD4B","DNAH10"
"MFSD4B","DPYD"
"MFSD4B","FAT4"
"MFSD4B","AMDHD1"
"MFSD4B","ARMC5"
"MFSD4B","FASN"
"MFSD4B","INF2"
"MFSD4B","FLG2"
"MFSD4B","FYB2"
"MFSD4B","CLTCL1"
"MFSD4B","USP20"
"MFSD4B","FNIP2"
"MFSD4B","MROH2B"
"MFSD4B","KRT23"
"MFSD4B","ZNF343"
"MFSD4B","ELP1"
"MFSD4B","LARP7"
"MFSD4B","LMO7"
"MFSD4B","SEC16A"
"MFSD4B","ALG14"
"MFSD4B","DPAGT1"
"MFSD4B","GFPT1"
"MFSD4B","GMPPB"
"MFSD4B","SLC25A1"
"MFSD4B","PDPR"
"MFSD4B","MRM1"
"MFSD4B","MYO19"
"MFSD4B","DDX52"
"MFSD4B","FGGY"
"MFSD4B","ANXA2R"
"MFSD4B","SELENOW"
"MFSD4B","ZDHHC11"
"TXNDC2","USP17L2"
"TXNDC2","BMS1"
"TXNDC2","FLG"
"TXNDC2","HYI"
"TXNDC2","NOL8"
"TXNDC2","TTC3"
"TXNDC2","ZNF469"
"TXNDC2","LRRFIP1"
"TXNDC2","DDX55"
"TXNDC2","DNAH10"
"TXNDC2","DPYD"
"TXNDC2","FAT4"
"TXNDC2","AMDHD1"
"TXNDC2","ARMC5"
"TXNDC2","FASN"
"TXNDC2","INF2"
"TXNDC2","FLG2"
"TXNDC2","FYB2"
"TXNDC2","CLTCL1"
"TXNDC2","USP20"
"TXNDC2","FNIP2"
"TXNDC2","MROH2B"
"TXNDC2","KRT23"
"TXNDC2","ZNF343"
"TXNDC2","ELP1"
"TXNDC2","LARP7"
"TXNDC2","LMO7"
"TXNDC2","SEC16A"
"TXNDC2","ALG14"
"TXNDC2","DPAGT1"
"TXNDC2","GFPT1"
"TXNDC2","GMPPB"
"TXNDC2","SLC25A1"
"TXNDC2","PDPR"
"TXNDC2","MRM1"
"TXNDC2","MYO19"
"TXNDC2","DDX52"
"TXNDC2","FGGY"
"TXNDC2","ANXA2R"
"TXNDC2","SELENOW"
"TXNDC2","ZDHHC11"
"USP17L2","BMS1"
"USP17L2","FLG"
"USP17L2","HYI"
"USP17L2","NOL8"
"USP17L2","TTC3"
"USP17L2","ZNF469"
"USP17L2","LRRFIP1"
"USP17L2","DDX55"
"USP17L2","DNAH10"
"USP17L2","DPYD"
"USP17L2","FAT4"
"USP17L2","AMDHD1"
"USP17L2","ARMC5"
"USP17L2","FASN"
"USP17L2","INF2"
"USP17L2","FLG2"
"USP17L2","FYB2"
"USP17L2","CLTCL1"
"USP17L2","USP20"
"USP17L2","FNIP2"
"USP17L2","MROH2B"
"USP17L2","KRT23"
"USP17L2","ZNF343"
"USP17L2","ELP1"
"USP17L2","LARP7"
"USP17L2","LMO7"
"USP17L2","SEC16A"
"USP17L2","ALG14"
"USP17L2","DPAGT1"
"USP17L2","GFPT1"
"USP17L2","GMPPB"
"USP17L2","SLC25A1"
"USP17L2","PDPR"
"USP17L2","MRM1"
"USP17L2","MYO19"
"USP17L2","DDX52"
"USP17L2","FGGY"
"USP17L2","ANXA2R"
"USP17L2","SELENOW"
"USP17L2","ZDHHC11"
"BMS1","FLG"
"BMS1","HYI"
"BMS1","NOL8"
"BMS1","TTC3"
"BMS1","ZNF469"
"BMS1","LRRFIP1"
"BMS1","DDX55"
"BMS1","DNAH10"
"BMS1","DPYD"
"BMS1","FAT4"
"BMS1","AMDHD1"
"BMS1","ARMC5"
"BMS1","FASN"
"BMS1","INF2"
"BMS1","FLG2"
"BMS1","FYB2"
"BMS1","CLTCL1"
"BMS1","USP20"
"BMS1","FNIP2"
"BMS1","MROH2B"
"BMS1","KRT23"
"BMS1","ZNF343"
"BMS1","ELP1"
"BMS1","LARP7"
"BMS1","LMO7"
"BMS1","SEC16A"
"BMS1","ALG14"
"BMS1","DPAGT1"
"BMS1","GFPT1"
"BMS1","GMPPB"
"BMS1","SLC25A1"
"BMS1","PDPR"
"BMS1","MRM1"
"BMS1","MYO19"
"BMS1","DDX52"
"BMS1","FGGY"
"BMS1","ANXA2R"
"BMS1","SELENOW"
"BMS1","ZDHHC11"
"FLG","HYI"
"FLG","NOL8"
"FLG","TTC3"
"FLG","ZNF469"
"FLG","LRRFIP1"
"FLG","DDX55"
"FLG","DNAH10"
"FLG","DPYD"
"FLG","FAT4"
"FLG","AMDHD1"
"FLG","ARMC5"
"FLG","FASN"
"FLG","INF2"
"FLG","FLG2"
"FLG","FYB2"
"FLG","CLTCL1"
"FLG","USP20"
"FLG","FNIP2"
"FLG","MROH2B"
"FLG","KRT23"
"FLG","ZNF343"
"FLG","ELP1"
"FLG","LARP7"
"FLG","LMO7"
"FLG","SEC16A"
"FLG","ALG14"
"FLG","DPAGT1"
"FLG","GFPT1"
"FLG","GMPPB"
"FLG","SLC25A1"
"FLG","PDPR"
"FLG","MRM1"
"FLG","MYO19"
"FLG","DDX52"
"FLG","FGGY"
"FLG","ANXA2R"
"FLG","SELENOW"
"FLG","ZDHHC11"
"HYI","NOL8"
"HYI","TTC3"
"HYI","ZNF469"
"HYI","LRRFIP1"
"HYI","DDX55"
"HYI","DNAH10"
"HYI","DPYD"
"HYI","FAT4"
"HYI","AMDHD1"
"HYI","ARMC5"
"HYI","FASN"
"HYI","INF2"
"HYI","FLG2"
"HYI","FYB2"
"HYI","CLTCL1"
"HYI","USP20"
"HYI","FNIP2"
"HYI","MROH2B"
"HYI","KRT23"
"HYI","ZNF343"
"HYI","ELP1"
"HYI","LARP7"
"HYI","LMO7"
"HYI","SEC16A"
"HYI","ALG14"
"HYI","DPAGT1"
"HYI","GFPT1"
"HYI","GMPPB"
"HYI","SLC25A1"
"HYI","PDPR"
"HYI","MRM1"
"HYI","MYO19"
"HYI","DDX52"
"HYI","FGGY"
"HYI","ANXA2R"
"HYI","SELENOW"
"HYI","ZDHHC11"
"NOL8","TTC3"
"NOL8","ZNF469"
"NOL8","LRRFIP1"
"NOL8","DDX55"
"NOL8","DNAH10"
"NOL8","DPYD"
"NOL8","FAT4"
"NOL8","AMDHD1"
"NOL8","ARMC5"
"NOL8","FASN"
"NOL8","INF2"
"NOL8","FLG2"
"NOL8","FYB2"
"NOL8","CLTCL1"
"NOL8","USP20"
"NOL8","FNIP2"
"NOL8","MROH2B"
"NOL8","KRT23"
"NOL8","ZNF343"
"NOL8","ELP1"
"NOL8","LARP7"
"NOL8","LMO7"
"NOL8","SEC16A"
"NOL8","ALG14"
"NOL8","DPAGT1"
"NOL8","GFPT1"
"NOL8","GMPPB"
"NOL8","SLC25A1"
"NOL8","PDPR"
"NOL8","MRM1"
"NOL8","MYO19"
"NOL8","DDX52"
"NOL8","FGGY"
"NOL8","ANXA2R"
"NOL8","SELENOW"
"NOL8","ZDHHC11"
"TTC3","ZNF469"
"TTC3","LRRFIP1"
"TTC3","DDX55"
"TTC3","DNAH10"
"TTC3","DPYD"
"TTC3","FAT4"
"TTC3","AMDHD1"
"TTC3","ARMC5"
"TTC3","FASN"
"TTC3","INF2"
"TTC3","FLG2"
"TTC3","FYB2"
"TTC3","CLTCL1"
"TTC3","USP20"
"TTC3","FNIP2"
"TTC3","MROH2B"
"TTC3","KRT23"
"TTC3","ZNF343"
"TTC3","ELP1"
"TTC3","LARP7"
"TTC3","LMO7"
"TTC3","SEC16A"
"TTC3","ALG14"
"TTC3","DPAGT1"
"TTC3","GFPT1"
"TTC3","GMPPB"
"TTC3","SLC25A1"
"TTC3","PDPR"
"TTC3","MRM1"
"TTC3","MYO19"
"TTC3","DDX52"
"TTC3","FGGY"
"TTC3","ANXA2R"
"TTC3","SELENOW"
"TTC3","ZDHHC11"
"ZNF469","LRRFIP1"
"ZNF469","DDX55"
"ZNF469","DNAH10"
"ZNF469","DPYD"
"ZNF469","FAT4"
"ZNF469","AMDHD1"
"ZNF469","ARMC5"
"ZNF469","FASN"
"ZNF469","INF2"
"ZNF469","FLG2"
"ZNF469","FYB2"
"ZNF469","CLTCL1"
"ZNF469","USP20"
"ZNF469","FNIP2"
"ZNF469","MROH2B"
"ZNF469","KRT23"
"ZNF469","ZNF343"
"ZNF469","ELP1"
"ZNF469","LARP7"
"ZNF469","LMO7"
"ZNF469","SEC16A"
"ZNF469","ALG14"
"ZNF469","DPAGT1"
"ZNF469","GFPT1"
"ZNF469","GMPPB"
"ZNF469","SLC25A1"
"ZNF469","PDPR"
"ZNF469","MRM1"
"ZNF469","MYO19"
"ZNF469","DDX52"
"ZNF469","FGGY"
"ZNF469","ANXA2R"
"ZNF469","SELENOW"
"ZNF469","ZDHHC11"
"LRRFIP1","DDX55"
"LRRFIP1","DNAH10"
"LRRFIP1","DPYD"
"LRRFIP1","FAT4"
"LRRFIP1","AMDHD1"
"LRRFIP1","ARMC5"
"LRRFIP1","FASN"
"LRRFIP1","INF2"
"LRRFIP1","FLG2"
"LRRFIP1","FYB2"
"LRRFIP1","CLTCL1"
"LRRFIP1","USP20"
"LRRFIP1","FNIP2"
"LRRFIP1","MROH2B"
"LRRFIP1","KRT23"
"LRRFIP1","ZNF343"
"LRRFIP1","ELP1"
"LRRFIP1","LARP7"
"LRRFIP1","LMO7"
"LRRFIP1","SEC16A"
"LRRFIP1","ALG14"
"LRRFIP1","DPAGT1"
"LRRFIP1","GFPT1"
"LRRFIP1","GMPPB"
"LRRFIP1","SLC25A1"
"LRRFIP1","PDPR"
"LRRFIP1","MRM1"
"LRRFIP1","MYO19"
"LRRFIP1","DDX52"
"LRRFIP1","FGGY"
"LRRFIP1","ANXA2R"
"LRRFIP1","SELENOW"
"LRRFIP1","ZDHHC11"
"DDX55","DNAH10"
"DDX55","DPYD"
"DDX55","FAT4"
"DDX55","AMDHD1"
"DDX55","ARMC5"
"DDX55","FASN"
"DDX55","INF2"
"DDX55","FLG2"
"DDX55","FYB2"
"DDX55","CLTCL1"
"DDX55","USP20"
"DDX55","FNIP2"
"DDX55","MROH2B"
"DDX55","KRT23"
"DDX55","ZNF343"
"DDX55","ELP1"
"DDX55","LARP7"
"DDX55","LMO7"
"DDX55","SEC16A"
"DDX55","ALG14"
"DDX55","DPAGT1"
"DDX55","GFPT1"
"DDX55","GMPPB"
"DDX55","SLC25A1"
"DDX55","PDPR"
"DDX55","MRM1"
"DDX55","MYO19"
"DDX55","DDX52"
"DDX55","FGGY"
"DDX55","ANXA2R"
"DDX55","SELENOW"
"DDX55","ZDHHC11"
"DNAH10","DPYD"
"DNAH10","FAT4"
"DNAH10","AMDHD1"
"DNAH10","ARMC5"
"DNAH10","FASN"
"DNAH10","INF2"
"DNAH10","FLG2"
"DNAH10","FYB2"
"DNAH10","CLTCL1"
"DNAH10","USP20"
"DNAH10","FNIP2"
"DNAH10","MROH2B"
"DNAH10","KRT23"
"DNAH10","ZNF343"
"DNAH10","ELP1"
"DNAH10","LARP7"
"DNAH10","LMO7"
"DNAH10","SEC16A"
"DNAH10","ALG14"
"DNAH10","DPAGT1"
"DNAH10","GFPT1"
"DNAH10","GMPPB"
"DNAH10","SLC25A1"
"DNAH10","PDPR"
"DNAH10","MRM1"
"DNAH10","MYO19"
"DNAH10","DDX52"
"DNAH10","FGGY"
"DNAH10","ANXA2R"
"DNAH10","SELENOW"
"DNAH10","ZDHHC11"
"DPYD","FAT4"
"DPYD","AMDHD1"
"DPYD","ARMC5"
"DPYD","FASN"
"DPYD","INF2"
"DPYD","FLG2"
"DPYD","FYB2"
"DPYD","CLTCL1"
"DPYD","USP20"
"DPYD","FNIP2"
"DPYD","MROH2B"
"DPYD","KRT23"
"DPYD","ZNF343"
"DPYD","ELP1"
"DPYD","LARP7"
"DPYD","LMO7"
"DPYD","SEC16A"
"DPYD","ALG14"
"DPYD","DPAGT1"
"DPYD","GFPT1"
"DPYD","GMPPB"
"DPYD","SLC25A1"
"DPYD","PDPR"
"DPYD","MRM1"
"DPYD","MYO19"
"DPYD","DDX52"
"DPYD","FGGY"
"DPYD","ANXA2R"
"DPYD","SELENOW"
"DPYD","ZDHHC11"
"FAT4","AMDHD1"
"FAT4","ARMC5"
"FAT4","FASN"
"FAT4","INF2"
"FAT4","FLG2"
"FAT4","FYB2"
"FAT4","CLTCL1"
"FAT4","USP20"
"FAT4","FNIP2"
"FAT4","MROH2B"
"FAT4","KRT23"
"FAT4","ZNF343"
"FAT4","ELP1"
"FAT4","LARP7"
"FAT4","LMO7"
"FAT4","SEC16A"
"FAT4","ALG14"
"FAT4","DPAGT1"
"FAT4","GFPT1"
"FAT4","GMPPB"
"FAT4","SLC25A1"
"FAT4","PDPR"
"FAT4","MRM1"
"FAT4","MYO19"
"FAT4","DDX52"
"FAT4","FGGY"
"FAT4","ANXA2R"
"FAT4","SELENOW"
"FAT4","ZDHHC11"
"AMDHD1","ARMC5"
"AMDHD1","FASN"
"AMDHD1","INF2"
"AMDHD1","FLG2"
"AMDHD1","FYB2"
"AMDHD1","CLTCL1"
"AMDHD1","USP20"
"AMDHD1","FNIP2"
"AMDHD1","MROH2B"
"AMDHD1","KRT23"
"AMDHD1","ZNF343"
"AMDHD1","ELP1"
"AMDHD1","LARP7"
"AMDHD1","LMO7"
"AMDHD1","SEC16A"
"AMDHD1","ALG14"
"AMDHD1","DPAGT1"
"AMDHD1","GFPT1"
"AMDHD1","GMPPB"
"AMDHD1","SLC25A1"
"AMDHD1","PDPR"
"AMDHD1","MRM1"
"AMDHD1","MYO19"
"AMDHD1","DDX52"
"AMDHD1","FGGY"
"AMDHD1","ANXA2R"
"AMDHD1","SELENOW"
"AMDHD1","ZDHHC11"
"ARMC5","FASN"
"ARMC5","INF2"
"ARMC5","FLG2"
"ARMC5","FYB2"
"ARMC5","CLTCL1"
"ARMC5","USP20"
"ARMC5","FNIP2"
"ARMC5","MROH2B"
