"V1","V2"
"MFSD4B","LRRFIP1"
"MFSD4B","PLEKHA4"
"MFSD4B","BLK"
"MFSD4B","SPTA1"
"MFSD4B","TLR10"
"MFSD4B","CACNA1S"
"MFSD4B","SHARPIN"
"MFSD4B","TRPM1"
"MFSD4B","LRFN3"
"MFSD4B","WNK1"
"MFSD4B","MYO9A"
"MFSD4B","SCN4A"
"MFSD4B","UNC13B"
"MFSD4B","AATF"
"LRRFIP1","PLEKHA4"
"LRRFIP1","BLK"
"LRRFIP1","SPTA1"
"LRRFIP1","TLR10"
"LRRFIP1","CACNA1S"
"LRRFIP1","SHARPIN"
"LRRFIP1","TRPM1"
"LRRFIP1","LRFN3"
"LRRFIP1","WNK1"
"LRRFIP1","MYO9A"
"LRRFIP1","SCN4A"
"LRRFIP1","UNC13B"
"LRRFIP1","AATF"
"PLEKHA4","BLK"
"PLEKHA4","SPTA1"
"PLEKHA4","TLR10"
"PLEKHA4","CACNA1S"
"PLEKHA4","SHARPIN"
"PLEKHA4","TRPM1"
"PLEKHA4","LRFN3"
"PLEKHA4","WNK1"
"PLEKHA4","MYO9A"
"PLEKHA4","SCN4A"
"PLEKHA4","UNC13B"
"PLEKHA4","AATF"
"BLK","SPTA1"
"BLK","TLR10"
"BLK","CACNA1S"
"BLK","SHARPIN"
"BLK","TRPM1"
"BLK","LRFN3"
"BLK","WNK1"
"BLK","MYO9A"
"BLK","SCN4A"
"BLK","UNC13B"
"BLK","AATF"
"SPTA1","TLR10"
"SPTA1","CACNA1S"
"SPTA1","SHARPIN"
"SPTA1","TRPM1"
"SPTA1","LRFN3"
"SPTA1","WNK1"
"SPTA1","MYO9A"
"SPTA1","SCN4A"
"SPTA1","UNC13B"
"SPTA1","AATF"
"TLR10","CACNA1S"
"TLR10","SHARPIN"
"TLR10","TRPM1"
"TLR10","LRFN3"
"TLR10","WNK1"
"TLR10","MYO9A"
"TLR10","SCN4A"
"TLR10","UNC13B"
"TLR10","AATF"
"CACNA1S","SHARPIN"
"CACNA1S","TRPM1"
"CACNA1S","LRFN3"
"CACNA1S","WNK1"
"CACNA1S","MYO9A"
"CACNA1S","SCN4A"
"CACNA1S","UNC13B"
"CACNA1S","AATF"
"SHARPIN","TRPM1"
"SHARPIN","LRFN3"
"SHARPIN","WNK1"
"SHARPIN","MYO9A"
"SHARPIN","SCN4A"
"SHARPIN","UNC13B"
"SHARPIN","AATF"
"TRPM1","LRFN3"
"TRPM1","WNK1"
"TRPM1","MYO9A"
"TRPM1","SCN4A"
"TRPM1","UNC13B"
"TRPM1","AATF"
"LRFN3","WNK1"
"LRFN3","MYO9A"
"LRFN3","SCN4A"
"LRFN3","UNC13B"
"LRFN3","AATF"
"WNK1","MYO9A"
"WNK1","SCN4A"
"WNK1","UNC13B"
"WNK1","AATF"
"MYO9A","SCN4A"
"MYO9A","UNC13B"
"MYO9A","AATF"
"SCN4A","UNC13B"
"SCN4A","AATF"
"UNC13B","AATF"
"BMS1","GFPT1"
"BMS1","DDX52"
"GFPT1","DDX52"
"MUC12","MUC12"
"ACAD10","SLCO4A1"
"ACAD10","DPYD"
"ACAD10","AMDHD1"
"ACAD10","CHAT"
"ACAD10","SLC5A7"
"ACAD10","PDPR"
"ACAD10","CYP2A6"
"SLCO4A1","DPYD"
"SLCO4A1","AMDHD1"
"SLCO4A1","CHAT"
"SLCO4A1","SLC5A7"
"SLCO4A1","PDPR"
"SLCO4A1","CYP2A6"
"DPYD","AMDHD1"
"DPYD","CHAT"
"DPYD","SLC5A7"
"DPYD","PDPR"
"DPYD","CYP2A6"
"AMDHD1","CHAT"
"AMDHD1","SLC5A7"
"AMDHD1","PDPR"
"AMDHD1","CYP2A6"
