"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2","3","12","19","31","261","402","489","551","C0001430"
"2","5","7","60","54","24","30","46","72","C0001430"
"2","3","12","19","31","261","116","1","86","C0001618"
"2","3","12","19","31","1","116","89","605","C0001618"
"2","3","12","19","31","261","402","489","551","C0001618"
"2","5","3","68","221","197","259","560","422","C0001621"
"2","5","4","68","96","326","427","548","672","C0001621"
"2","3","5","79","152","273","375","100","589","C0001623"
"2","3","2","68","66","123","158","207","278","C0001623"
"2","3","3","19","221","321","428","541","667","C0001623"
"2","5","4","68","96","326","427","548","672","C0001623"
"2","3","2","72","43","179","88","125","382","C0001623"
"2","3","5","43","161","305","409","208","482","C0001623"
"2","3","3","19","151","276","91","433","118","C0001623"
"2","3","12","22","33","323","66","101","664","C0001623"
"2","3","12","76","31","261","116","1","86","C0001623"
"2","5","4","68","96","326","427","548","672","C0001624"
"2","5","4","68","96","326","427","548","672","C0001624"
"2","5","4","68","96","326","427","548","672","C0001624"
"2","3","5","53","175","119","167","489","416","C0001624"
"2","3","12","76","14","20","34","540","75","C0001624"
"2","3","12","19","31","1","426","55","78","C0001624"
"2","3","12","19","221","197","259","560","422","C0001624"
"2","5","7","60","54","24","30","46","72","C0001624"
"2","3","12","19","31","261","402","489","551","C0001624"
"2","3","12","19","31","1","116","1","664","C0001624"
"2","5","4","68","96","326","427","548","672","C0001624"
"2","3","5","79","186","215","297","379","491","C0001627"
"2","3","5","79","159","256","276","353","456","C0001627"
"2","3","5","79","98","256","335","425","540","C0001627"
"2","3","4","68","96","326","427","548","672","C0001627"
"2","3","5","91","214","271","372","471","586","C0001627"
"2","3","2","69","98","169","299","183","243","C0001627"
"2","5","4","68","96","326","427","548","672","C0001627"
"2","5","4","68","96","326","427","548","672","C0001627"
"2","5","4","68","96","326","427","548","672","C0001627"
"2","5","7","27","36","273","341","100","589","C0001627"
"2","3","12","19","184","118","155","287","116","C0001627"
"2","5","8","45","94","199","240","415","666","C0001723"
"2","3","2","87","79","105","426","129","25","C0001723"
"2","3","12","41","219","339","156","568","697","C0001723"
"2","3","2","15","166","104","369","117","583","C0001723"
"2","5","7","34","52","216","395","549","674","C0001723"
"2","3","5","80","81","305","409","208","482","C0001723"
"2","3","5","46","158","252","352","449","563","C0001733"
"2","5","7","53","51","342","454","573","492","C0001733"
"2","5","7","53","51","342","454","573","492","C0001733"
"2","3","12","19","31","276","91","491","118","C0001768"
"2","5","2","63","182","50","103","297","628","C0001768"
"2","3","12","19","31","1","426","55","78","C0001768"
"2","5","7","53","51","119","395","549","674","C0001768"
"2","5","7","53","51","119","395","549","674","C0001768"
"2","3","12","53","184","119","156","287","116","C0001768"
"2","5","7","53","51","119","395","549","674","C0001768"
"2","3","12","19","31","1","426","55","78","C0001768"
"2","3","12","19","31","276","91","236","118","C0001768"
"2","5","7","53","14","20","25","40","186","C0001768"
"2","5","7","53","14","20","25","40","186","C0001768"
"2","5","7","53","14","119","25","40","186","C0001768"
"2","5","7","53","14","20","25","40","186","C0001768"
"2","5","7","53","14","20","25","40","186","C0001768"
"2","5","7","53","14","20","25","40","186","C0001768"
"2","3","12","41","219","339","156","568","697","C0001768"
"2","5","7","53","14","20","25","40","186","C0001815"
"2","3","12","19","31","1","426","55","78","C0001815"
"2","5","7","53","51","119","395","549","674","C0001816"
"2","5","7","53","14","20","25","223","219","C0001816"
"2","5","7","34","52","216","395","549","674","C0001816"
"2","5","8","63","45","23","103","464","187","C0001818"
"2","5","4","68","96","326","427","548","672","C0001818"
"2","3","12","19","31","1","91","433","118","C0001818"
"2","3","12","19","31","276","91","433","118","C0001818"
"2","5","7","53","51","119","25","489","416","C0001824"
"2","3","5","80","130","114","290","367","475","C0001824"
"2","3","2","48","170","50","304","167","593","C0001824"
"2","5","7","53","14","20","25","40","186","C0001824"
"2","5","4","68","96","326","427","548","672","C0001883"
"2","5","7","68","51","119","395","549","674","C0001883"
"2","5","7","53","51","342","454","573","492","C0001883"
"2","5","5","23","18","138","250","332","407","C0001916"
"2","3","5","60","18","184","341","544","669","C0001916"
"2","5","7","60","54","24","30","46","72","C0001916"
"2","5","7","60","18","184","341","544","669","C0001916"
"2","3","5","23","18","138","250","332","407","C0001916"
"2","3","12","19","31","261","116","1","664","C0001916"
"2","5","8","63","45","23","250","464","187","C0001916"
"2","3","5","23","18","138","250","332","407","C0001916"
"2","5","4","68","96","326","427","548","672","C0001916"
"2","5","4","68","96","326","427","548","672","C0001916"
"2","5","8","63","36","166","341","223","158","C0001916"
"2","3","2","74","51","342","454","573","492","C0001925"
