Compound_notsevere,Compound_severe,Compound_severe_only,CNVs_notsevere,CNVs_severe,CNVs_severeonly,CMS_causal_genes
ZNF469,,,,,,
FNIP2,,,,,,
CFAP46,,,,,,
IP6K3,,,,,,
ZNF343,,,,,,
ECEL1,,,,,,
PALD1,,,,,,
MUC5B,,,,,,
MAMDC4,,,,,,
POLQ,,,,,,
PDE4DIP,,,,,,
PPP2R3A,,,,,,
TTC3,,,,,,
FAM209B,,,,,,
MAP1A,,,,,,
CLIP2,,,,,,
REST,,,,,,
MYO15B,,,,,,
CCDC171,,,,,,
PLIN4,,,,,,
TLL2,,,,,,
RP1L1,,,,,,
SNAP47,,,,,,
PKD1,,,,,,
LAMA5,,,,,,
SYNE1,,,,,,
FMN1,,,,,,
PKD1L2,,,,,,
FAM208B,,,,,,
MKI67,,,,,,
TTN,,,,,,
C16orf71,,,,,,
POLE,,,,,,
ADAM28,,,,,,
HYDIN,,,,,,
BMS1,,,,,,
ADAMTS9,,,,,,
LURAP1,,,,,,
