gene	whole_gene	NEW0937	NEW0934	NEW0933	NEW0932	NEW0930	NEW0929	NEW0928	NEW0927	NEW0907	NEW0923	NEW0936	NEW0935	NEW0909	NEW0908	NEW0922	NEW0920	NEW0919	NEW0918	NEW0931	NEW0921
ENSG00000184608	FALSE	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2
ENSG00000184886	TRUE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
ENSG00000184908	TRUE	2	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2	2	2	2	2
ENSG00000185630	FALSE	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000186146	TRUE	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000186599	TRUE	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000186599	TRUE	2	2	5	2	2	3	2	5	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000187082	TRUE	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000187082	TRUE	2	2	5	2	2	3	2	5	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000187537	TRUE	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000187951	FALSE	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
ENSG00000188536	FALSE	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2
ENSG00000188818	FALSE	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000197681	TRUE	2	2	3	2	4	2	3	3	2	2	2	2	2	2	2	2	2	2	2	3
ENSG00000197681	TRUE	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2
ENSG00000198129	TRUE	2	2	5	2	2	3	2	5	2	2	2	2	2	2	2	2	2	2	2	2
ENSG00000203815	TRUE	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3
ENSG00000203815	TRUE	2	2	3	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2
