CHRNE
RAPSN
DOK7
COLQ
CHAT
CHRNA1
CHRNB1
CHRND
GFPT1
AGRN
ALG14
ALG2
BIN1
COL13A1
DNM2
DPAGT1
GMPPB
LAMB2
LRP4
MTM1
MUSK
MYO9A
PLEC
PREPL
RYR1
SCN4A
SLC25A1
SLC5A7
SNAP25
SYT2
TPM3
CHRNG
