Var1,Var2,value
C1orf94,DMXL2,8
CASP5,DMXL2,8
AGRN,KIAA1109,8
DIP2A,KIAA1109,8
KIF13B,KIAA1109,7
KRT79,KIAA1109,8
MICALL2,KIAA1109,8
NPHP3,KIAA1109,7
RAD51AP1,KIAA1109,6
RP1,KIAA1109,8
DNAH7,KIAA1109,6
FHOD3,KIAA1109,5
HSPG2,KIAA1109,8
LEFTY2,KIAA1109,8
NCKAP5L,KIAA1109,6
NOTCH4,KIAA1109,8
PRRT3,KIAA1109,8
PTPN14,KIAA1109,8
SMTN,KIAA1109,8
SRMS,KIAA1109,8
TOR2A,KIAA1109,7
C1orf94,KIAA1109,7
CASP5,KIAA1109,5
DMXL2,KIAA1109,7
AGRN,LILRA1,4
DIP2A,LILRA1,6
KIF13B,LILRA1,7
KRT79,LILRA1,8
MICALL2,LILRA1,6
NPHP3,LILRA1,8
RAD51AP1,LILRA1,8
RP1,LILRA1,6
DNAH7,LILRA1,8
FHOD3,LILRA1,8
HSPG2,LILRA1,4
LEFTY2,LILRA1,4
NCKAP5L,LILRA1,8
NOTCH4,LILRA1,4
PRRT3,LILRA1,6
PTPN14,LILRA1,6
SMTN,LILRA1,7
SRMS,LILRA1,5
TOR2A,LILRA1,8
C1orf94,LILRA1,8
CASP5,LILRA1,8
DMXL2,LILRA1,6
KIAA1109,LILRA1,8
AGRN,LOXL3,0
DIP2A,LOXL3,6
KIF13B,LOXL3,7
KRT79,LOXL3,8
MICALL2,LOXL3,6
NPHP3,LOXL3,8
RAD51AP1,LOXL3,8
RP1,LOXL3,6
DNAH7,LOXL3,8
FHOD3,LOXL3,8
HSPG2,LOXL3,0
LEFTY2,LOXL3,1
NCKAP5L,LOXL3,8
NOTCH4,LOXL3,4
PRRT3,LOXL3,6
PTPN14,LOXL3,6
SMTN,LOXL3,7
SRMS,LOXL3,5
TOR2A,LOXL3,8
C1orf94,LOXL3,8
CASP5,LOXL3,8
DMXL2,LOXL3,6
KIAA1109,LOXL3,8
LILRA1,LOXL3,4
AGRN,LRP2,6
DIP2A,LRP2,7
KIF13B,LRP2,7
KRT79,LRP2,8
MICALL2,LRP2,5
NPHP3,LRP2,8
RAD51AP1,LRP2,8
RP1,LRP2,5
DNAH7,LRP2,8
FHOD3,LRP2,8
HSPG2,LRP2,6
LEFTY2,LRP2,6
NCKAP5L,LRP2,8
NOTCH4,LRP2,6
PRRT3,LRP2,6
PTPN14,LRP2,6
SMTN,LRP2,7
SRMS,LRP2,5
TOR2A,LRP2,5
C1orf94,LRP2,8
CASP5,LRP2,8
DMXL2,LRP2,4
KIAA1109,LRP2,8
LILRA1,LRP2,6
LOXL3,LRP2,6
AGRN,NAT8B,8
DIP2A,NAT8B,8
KIF13B,NAT8B,7
KRT79,NAT8B,8
MICALL2,NAT8B,8
NPHP3,NAT8B,7
RAD51AP1,NAT8B,5
RP1,NAT8B,8
DNAH7,NAT8B,6
FHOD3,NAT8B,6
HSPG2,NAT8B,8
LEFTY2,NAT8B,8
NCKAP5L,NAT8B,6
NOTCH4,NAT8B,8
PRRT3,NAT8B,8
PTPN14,NAT8B,8
SMTN,NAT8B,8
SRMS,NAT8B,8
TOR2A,NAT8B,7
C1orf94,NAT8B,7
CASP5,NAT8B,6
DMXL2,NAT8B,8
KIAA1109,NAT8B,6
LILRA1,NAT8B,8
LOXL3,NAT8B,8
LRP2,NAT8B,8
AGRN,UNC13C,6
DIP2A,UNC13C,7
KIF13B,UNC13C,7
KRT79,UNC13C,8
MICALL2,UNC13C,5
NPHP3,UNC13C,8
RAD51AP1,UNC13C,8
RP1,UNC13C,5
DNAH7,UNC13C,8
FHOD3,UNC13C,8
HSPG2,UNC13C,6
LEFTY2,UNC13C,6
NCKAP5L,UNC13C,8
NOTCH4,UNC13C,6
PRRT3,UNC13C,6
PTPN14,UNC13C,6
SMTN,UNC13C,7
SRMS,UNC13C,6
TOR2A,UNC13C,7
C1orf94,UNC13C,8
CASP5,UNC13C,8
DMXL2,UNC13C,0
KIAA1109,UNC13C,7
LILRA1,UNC13C,6
LOXL3,UNC13C,6
LRP2,UNC13C,4
NAT8B,UNC13C,8
AGRN,ZP4,2
DIP2A,ZP4,5
KIF13B,ZP4,7
KRT79,ZP4,7
MICALL2,ZP4,6
NPHP3,ZP4,7
RAD51AP1,ZP4,8
RP1,ZP4,6
DNAH7,ZP4,8
FHOD3,ZP4,8
HSPG2,ZP4,2
LEFTY2,ZP4,2
NCKAP5L,ZP4,8
NOTCH4,ZP4,5
PRRT3,ZP4,6
PTPN14,ZP4,6
SMTN,ZP4,7
SRMS,ZP4,6
TOR2A,ZP4,8
C1orf94,ZP4,8
CASP5,ZP4,8
DMXL2,ZP4,6
KIAA1109,ZP4,8
