55568	
55331	
9200	
129642	
4842	
55224	
6817	
476	
1152	
64174	
23539	
79611	
131669	
122622	
259307	
64131	
2650	
145226	
10941	
11285	
549	
113451	
2531	
11112	
54942	1962	
84513	
1384	
196051	
8693	
79814	
482	
4539	
10858	
100	
2572	
2729	
54363	
23417	
196383	4814	718	284004	
101930123	850642	283951	148304	285521	51241	79899	64121	389541	81617	27165	84987	116228	51204	1979	143686	55004	326342	26207	79602	58528	10325	1345	6834	27244	1353	2744	28956	153129	51094	192669	29105	57103	2877	8637	57690	53632	29904	64798	54814	54541	84335	51422	342527	83879	284114	11228	51085	83667	5571	1978	115265	4512	192670	57521	9997	23112	27327	5494	2936	10670	8649	55437	6341	10128	6009	23034	85377	22877	122786	26031	5563	80851	9360	256364	55119	23085	219771	55177	126393	55095	23313	51599	7295	4236	25824	6651	7001	6198	50484	5052	2475	54205	5565	8626	7249	5562	208	7248	7533	5564	2539	7532	10971	64223	2810	10542	
51754	340348	84766	83786	64097	84978	257019	4648	9182	57147	858	5358	889	5357	10449	5962	7430	4478	54566	
102723996	285016	222826	57567	388512	400360	389658	10233	140883	387357	54900	79834	128611	494551	284948	84951	157285	55359	116449	646892	387694	400745	147798	63898	973	84941	26228	122809	8412	23624	7301	399694	6098	400581	81848	10045	238	4915	9047	5753	7294	56961	126669	2888	29760	2886	4486	84174	6452	3645	8503	7075	7535	558	10750	2322	1399	7006	4058	4919	6725	2444	2324	8711	1436	5335	6461	2242	3937	5296	27	640	3702	2268	2241	2887	2321	4145	10044	9402	30837	
8361	333932	8365	8367	8353	653604	121504	8368	8354	554313	27439	64776	400566	79078	55106	55063	121642	128209	7544	346171	203076	57412	170626	83852	8284	23135	284349	54816	168455	85460	2145	84787	259282	84146	8609	7172	220074	133383	387640	23067	23284	54749	9852	79831	81576	26147	115286	9502	84159	120534	79918	8653	9792	100170841	9426	55818	147650	51111	1312	63976	64754	84864	121536	79178	91875	93166	9085	51780	10765	55729	1106	7404	23476	55693	387893	79447	11107	79813	7290	9739	54954	3720	84678	7403	4144	10919	126961	22893	58508	23030	124359	9682	5252	221504	22850	23081	29072	23210	84444	56950	10664	9070	84661	8242	2122	84193	9935	1788	22990	84181	5929	80063	140690	6419	54758	56946	5927	9757	80853	79723	56979	79697	4837	473	9869	22823	191	23512	11335	29947	55870	8085	8294	11177	80854	4143	54971	8208	26013	64342	1789	22992	55904	64324	84458	10951	8350	29128	4297	6839	8726	2146	54904	7468	84456	55609	57473	58525	5253	23133	3070	1786	
219285	553117	124751	84952	9645	2746	57732	80725	9564	
1056	
122618	
6553	
1579	
55790	90381	25792	22985	
6549	64114	58472	50854	51337	80331	
401665	390445	401663	219954	79346	347169	119774	134083	26333	390152	390882	390197	219965	79296	441308	81696	392376	341568	390181	26492	403273	283111	391211	120775	138803	401667	282770	79501	401427	338751	102723532	442185	196335	343172	441911	219952	219477	79334	219865	127385	347468	390084	219453	390441	390191	284383	119695	119694	81448	390436	143503	81327	119678	219957	26693	442186	219875	390037	390079	79470	391114	219479	81472	283694	219958	402317	403274	254973	120586	392392	390081	107987545	390264	391189	390275	81466	26339	390265	338755	390078	81399	391194	441932	391107	120793	119687	286365	79317	441669	390649	119679	390083	219493	729759	128366	81309	127059	127074	119749	390059	126541	390326	127069	79541	390072	442191	79345	442184	390157	390036	346528	135941	219473	121129	81050	124538	81127	83597	120787	286362	56651	390195	344892	219431	4993	343563	26737	392390	26740	390151	390155	338662	26248	26219	390261	282775	26696	26211	64108	390066	150681	219983	65055	4992	81697	26532	119765	138882	26189	390148	403239	283093	403244	219487	390168	219484	81469	391190	442361	219870	127623	341799	26735	81318	130075	401666	219417	390323	219482	135924	390162	219438	51308	8383	26188	26692	8590	10798	283160	26245	120065	144124	26658	81328	26538	283159	8387	158131	23538	132112	56656	285093	92840	7932	7905	390883	254786	442194	390064	282763	390058	254879	119772	128372	125962	7107	346525	128367	121275	390075	8390	391191	391195	26493	340980	127064	221035	135948	80346	2859	57191	4142	2827	26683	79339	26539	341416	81797	26716	81392	283297	255725	26595	284532	390190	162998	79473	341276	119692	390433	390054	26531	390061	219428	390077	390321	127068	127077	219869	219959	219858	343169	390063	144125	26682	120776	120066	79290	390327	390431	125963	219968	121364	390142	26212	138883	26648	390167	401993	390442	81282	283092	441608	343406	441670	138881	286530	285659	219873	219986	219982	338675	256144	390144	26659	219464	79295	219981	403282	219960	127066	4991	81300	4995	347168	126370	391196	390892	390174	81285	392309	219436	401992	119682	387748	81442	391109	122742	128368	81168	390538	390199	504189	26341	441933	284521	391112	441639	138805	401994	402135	390093	8388	143502	504190	122748	219432	81470	138799	120796	219447	128360	26664	119764	81099	81061	219429	390134	283365	79310	128371	8392	284433	122740	79544	343173	390067	391192	138804	390429	254783	219956	390053	127062	26707	392391	26476	26529	256148	125958	390437	338674	138802	390201	403253	219437	390260	390113	283189	403277	135946	26689	390439	121130	343171	219874	26246	219469	346517	283162	341152	26533	390648	8386	26496	341418	390038	79324	393046	26494	4994	390154	26338	403284	81341	389090	403278	390271	392138	2774	
116844	
84869	
253190	921	3635	55824	10657	
8566	
55361	
79812	5208	4215	
80774	2879	5687	54784	
64863	2182	23347	
376497	
