10555	221092	10269	
343990	162073	91057	173	312	54916	653269	64922	375189	84690	129446	127495	137868	8910	140625	4892	7564	8082	3779	2013	257169	27129	10880	29765	6443	5121	4621	165904	4626	93408	53405	1160	57644	6444	6445	26022	4636	100288711	58498	4635	219537	5837	2638	22989	493829	8291	25802	4624	1837	29895	4622	114822	8735	29767	4629	10677	6451	1465	11344	29109	1073	445582	72	50853	11034	158471	1264	1266	7429	728378	85477	440915	10398	4628	59	858	70	6840	79810	859	1756	7125	7139	4619	57180	345651	103910	7111	4646	8736	7402	7168	7171	140465	309	4026	302	10486	29766	2934	58529	3982	91977	26287	200539	23022	8988	6525	89	4625	4620	7140	7134	7137	51778	1339	27295	4703	4604	9172	3316	1158	4607	4606	2273	9499	4634	4151	7135	84675	7170	58	7136	8048	2027	4632	11155	7169	1674	4633	7138	8557	7145	822	2318	4638	800	10627	4637	
126328	
4709	
4707	
4710	
1609	
5051	
23498	
127124	
411	
6511	
55757	
138429	
2571	
1351	
4694	
206358	
124872	
123745	
4017	
9091	
10678	
23439	
8630	
2650	
55268	
55194	55238	23632	
6506	
54963	
28976	
5208	
1155	
9498	
84513	
93010	
9953	
496	
98	
131669	
114805	
196051	
6005	
9956	
4537	
374907	
79071	
10400	
5207	
2731	
128	
54363	
6483	
55224	
196383	79020	284004	
9843	
124773	100506012	100885848	51020	51537	203111	84233	283514	84267	54629	1844	285193	113201	54545	26504	1849	9050	9108	400793	10903	9110	11230	54935	153364	1850	3299	9625	56940	93487	54961	84284	55027	150290	11122	11072	11099	84867	5775	5803	55862	25930	5780	5801	1843	5778	29097	5789	5774	138639	5784	2764	5794	26095	5793	5800	5798	5795	5797	5783	5796	26191	26469	5782	5770	5791	5771	8446	11221	51657	8556	11266	93492	128853	63904	168448	6815	142679	1852	1845	1847	7179	338599	78986	1846	5754	92235	114971	85464	7957	51207	1848	54434	7803	80824	8555	
102723996	285016	222826	57567	388512	143282	400360	389658	197021	145957	10718	2675	63947	112703	8632	80739	152831	3730	10233	9365	83888	23769	29800	9048	8822	5623	23767	23768	51378	23150	2676	387357	7275	3562	10630	54900	118788	3601	375033	8394	8395	79834	2674	923	3568	3567	8074	2248	9965	29851	221002	3559	117145	8823	2668	9982	79837	2246	27006	90525	26281	284948	84951	2251	284	55620	9208	685	79109	157285	55359	116449	646892	387694	3560	25780	64096	4902	2253	253260	9173	5923	8682	6710	51332	400745	55615	147798	55816	2252	2249	55715	2254	3558	8817	1437	2250	6708	8870	115727	63898	973	2069	9542	27240	84941	26228	3953	50852	3563	10818	2206	139716	941	3667	2247	5786	1839	23624	7301	25759	399694	921	2255	6098	940	4254	6777	1950	8471	22853	1438	400581	8660	10045	238	4915	3084	9047	5753	1796	9846	7294	7462	56961	126669	2888	29760	2886	4486	6452	3718	3645	7010	5291	2549	2261	660	8503	7075	7535	10461	558	3561	1439	27040	10750	5747	2322	1399	7006	4058	2064	4233	55824	4919	6725	2324	2263	5293	6464	3643	10817	2264	2065	1436	3716	2066	5335	6461	2242	5979	3937	5296	27	2260	5159	3480	640	3717	3702	3932	5156	2241	5290	2057	2887	9046	2534	2321	3815	3055	9693	4145	10048	64759	5781	10044	53358	220164	10125	9402	30837	
83733	
